"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Operando BO Forte","Operando por Contexto","Operando Rompimentos","Setup","37-42","BO Forte","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Entre com stop order imediatamente | Swing prioritário | Aguarde segunda perna (TBTL) | NÃO espere pullback - pode não vir"
"Fazendo Scalp em BO Forte","Operando por Contexto","Operando Rompimentos","Técnica","37-42","BO Forte e Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Realize parcial rapidamente | Move stop breakeven | Deixe runner com trailing"
"Operando BO Fraco","Operando por Contexto","Operando Rompimentos","Setup","37-42","BO Fraco","0","10","","","Livro/Video/Arvore","","","Universal","Aguarde teste de pullback | Scalp apenas | Depois provavelmente TR | FADE se retornar rapidamente"
"BTC em BO de Alta","Operando por Contexto","Operando Rompimentos","Técnica","37-42","BTC","0","10","","","Livro/Video/Arvore","","","Universal","Compra no fechamento em cada barra no BO de alta"
"STC em BO de Baixa","Operando por Contexto","Operando Rompimentos","Técnica","37-42","STC","0","10","","","Livro/Video/Arvore","","","Universal","Venda no fechamento em cada barra no BO de baixa"
"Gerenciamento Stop em BO","Operando por Contexto","Operando Rompimentos","Gestão","37-42","BO e Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Move stop abaixo cada novo HL em BO alta"
"Entrada Prematura LTF em BO","Operando por Contexto","Operando Rompimentos","Técnica Avançada","37-42","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Entrar no LTF antes do sinal do CTF se muito forte"
"Operando MTR em Topos","Operando por Contexto","Operando Reversões","Setup","37-42","MTR Topos","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Todos pré-requisitos: quebra LT + teste extremo + LH | Entrada: stop abaixo barra reversão LH | Stop: acima LH | Alvo mínimo: distância LH ao fundo | R:R mínimo 1:2"
"Operando MTR em Fundos","Operando por Contexto","Operando Reversões","Setup","37-42","MTR Fundos","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Todos pré-requisitos: quebra LTB + teste extremo + HL | Entrada: stop acima barra reversão HL | Stop: abaixo HL | Alvo mínimo: distância HL ao topo | R:R mínimo 1:2"
"Planeje Realizar MTR Cedo","Operando por Contexto","Operando Reversões","Gestão","37-42","MTR","0","10","","","Livro/Video/Arvore","","","Universal","50% das MTR falham - realize parcial cedo - proteja capital"
"Movendo Stops em MTR","Operando por Contexto","Operando Reversões","Gestão","37-42","MTR e Trailing Stop","0","10","","","Livro/Video/Arvore","","","Universal","Mova stop abaixo cada novo HL na reversão alta"
"MTR na Abertura","Operando por Contexto","Operando Reversões","Timing","43-46","MTR e Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Reversões na abertura são comuns - 80% dos dias revertem"
"Reversões Climáticas - Como Operar","Operando por Contexto","Operando Reversões","Setup","37-42","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Aguarde barra reversão FORTE | Stop: 1 tick além extremo clímax | Alvo: EMA20 (conservador) ou 50% (agressivo) | Risco alto - pode fazer Push 4"
"Três Partes do Dia","Operando por Tempo","Momentos do Dia","Framework","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Abertura / Meio do Dia / Final do Dia - características distintas"
"Por Que Operar a Abertura","Operando por Tempo","Abertura","Justificativa","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Maior volatilidade e volume - mais setups"
"Reversões na Abertura (80% dias)","Operando por Tempo","Abertura","Estatística","43-46","Tendência da Abertura","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% dos dias NÃO têm tendência desde o início"
"Tendência da Abertura (20% dias)","Operando por Tempo","Abertura","Estatística","43-46","Tendência da Abertura","0","10","","","Livro/Video/Arvore","20%","Universal","Universal","Primeira barra ENORME + follow-through = operar a favor"
"90% High/Low antes da Barra 18","Operando por Tempo","Abertura","Estatística","43-46","Abertura","0","10","","","Livro/Video/Arvore","90%","Universal","Universal","90% das máximas/mínimas do dia ocorrem antes barra 18"
"Não Confie nas Primeiras 5 Barras","Operando por Tempo","Abertura","Regra","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Primeiras 5 barras podem ser fake - aguarde confirmação"
"5+ Reversões = Dia de TR","Operando por Tempo","Abertura","Diagnóstico","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Muitas reversões nas primeiras 10 barras = TR confirmada"
"Gap Grande na Abertura","Operando por Tempo","Abertura","Gap","43-46","Gap de Abertura","0","10","","","Livro/Video/Arvore","70-80%","Universal","Universal","Gap >10pts Emini: 70-80% será testado | NÃO entre a favor inicialmente | Aguarde fechamento do gap | Entre quando testar (limit)"
"Gap Pequeno na Abertura","Operando por Tempo","Abertura","Gap","43-46","Gap de Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Gap <5pts: trate como abertura normal"
"TTR na Abertura","Operando por Tempo","Abertura","Padrão","43-46","TTR e Abertura","0","10","","","Livro/Video/Arvore","","","Universal","6+ barras sobrepostas: NÃO opere | Aguarde breakout | Fade se fraco"
"MTR na Abertura","Operando por Tempo","Abertura","Padrão","43-46","MTR e Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Reversão de tendência comum na primeira hora"
"BOM na Abertura","Operando por Tempo","Abertura","Padrão","43-46","BOM e Abertura","0","10","","","Livro/Video/Arvore","","","Universal","TR recém-formada - aguarda breakout"
"Contexto do Dia Anterior","Operando por Tempo","Abertura","Análise","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Como terminou ontem afeta abertura hoje"
"Amplitude das 18 Primeiras Barras","Operando por Tempo","Abertura","Estatística","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Range das primeiras 18 barras = provável amplitude do dia"
"Meio do Dia (Lunch Hour)","Operando por Tempo","Meio do Dia","Características","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","11:00-13:00 EST: liquidez cai / volatilidade cai / frequentemente lateraliza"
"Ação no Meio do Dia","Operando por Tempo","Meio do Dia","Recomendação","43-46","Meio do Dia","0","10","","","Livro/Video/Arvore","","","Universal","Se em trade: considere realizar | Se fora: melhor hora de pausa"
"Teste Tardio de S/R","Operando por Tempo","Meio do Dia","Padrão","43-46","Meio do Dia","0","10","","","Livro/Video/Arvore","","","Universal","10:00-14:00 testa S/R da abertura - setup H2/L2 tardio"
"Mudança de Fase no Meio do Dia","Operando por Tempo","Meio do Dia","Diagnóstico","43-46","Meio do Dia","0","10","","","Livro/Video/Arvore","","","Universal","Procure mudança de característica após almoço"
"Final do Dia - Características","Operando por Tempo","Final do Dia","Framework","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","BO e TR (não canais) | Armadilhas comuns | Magneto ativo"
"Armadilhas no Final do Dia","Operando por Tempo","Final do Dia","Padrão","43-46","Armadilha Final Dia","0","10","","","Livro/Video/Arvore","","","Universal","Último 60-30 min: Bull/Bear traps comuns | Breakout fraco = Fade | REGRA: breakouts finais geralmente falham"
"Magneto no Final do Dia","Operando por Tempo","Final do Dia","Conceito","43-46","Números Redondos","0","10","","","Livro/Video/Arvore","","","Universal","Preço atraído para: Abertura do dia | Fechamento ontem | Números redondos | High/Low do dia | Use como alvos finais"
"TTR Final (12:45+ PST)","Operando por Tempo","Final do Dia","Padrão","43-46","TTR e Final Dia","0","10","","","Livro/Video/Arvore","","","Universal","Após 12:45 PST: TTR pequeno + breakout últimos 15-20min | Scalp apenas - não swing"
"Dinheiro Inteligente no Final","Operando por Tempo","Final do Dia","Conceito","43-46","Final do Dia","0","10","","","Livro/Video/Arvore","","","Universal","Smart money fecha posições no final - movimento intencional"
"Como Sair no Final do Dia","Operando por Tempo","Final do Dia","Técnica","43-46","Final do Dia","0","10","","","Livro/Video/Arvore","","","Universal","BTC/STC | Realize perto magneto | Não carregue swing para próximo dia (day trader)"
"Framework Multi-Timeframe","Operando por Tempo","Análise Multi-TF","Framework","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","HTF = viés | CTF = padrão e setup | LTF = entrada e confirmação"
"HTF - Contexto Geral","Operando por Tempo","HTF","Função","43-46","Análise Multi-TF","0","10","","","Livro/Video/Arvore","","","Universal","Define viés direcional principal | S/R mais importantes"
"HTF - Tendência Maior","Operando por Tempo","HTF","Função","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Define Always In principal"
"HTF - Define Viés","Operando por Tempo","HTF","Aplicação","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Alta HTF = prefira compras no CTF | Baixa HTF = prefira vendas"
"HTF - Canal ou TR Maior","Operando por Tempo","HTF","Leitura","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Canal no HTF = tendência no CTF"
"HTF - BO em HTF","Operando por Tempo","HTF","Evento","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","BO no HTF = oportunidade rara e grande"
"HTF - Gráficos Mensais","Operando por Tempo","HTF","Aplicação","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Gráficos mensais = stops mensais - perspectiva longa"
"CTF - Execução Principal","Operando por Tempo","CTF","Função","43-46","Análise Multi-TF","0","10","","","Livro/Video/Arvore","","","Universal","Onde opera - gráfico 5 minutos padrão Al Brooks"
"CTF - Padrões e Sinais","Operando por Tempo","CTF","Função","43-46","CTF","0","10","","","Livro/Video/Arvore","","","Universal","Identifica padrões e barra de sinal para entrada"
"CTF - Gestão do Trade","Operando por Tempo","CTF","Função","43-46","CTF","0","10","","","Livro/Video/Arvore","","","Universal","Onde gerencia stop e realiza"
"LTF - Entrada Prematura","Operando por Tempo","LTF","Técnica","43-46","Análise Multi-TF","0","10","","","Livro/Video/Arvore","","","Universal","Entrar no LTF antes do sinal aparecer no CTF"
"LTF - Confirmação de Força","Operando por Tempo","LTF","Técnica","43-46","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Verificar força do movimento antes de entrar"
"LTF - Melhor Preço","Operando por Tempo","LTF","Benefício","43-46","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Entrar em price melhor ao usar LTF"
"LTF - Gráfico 2 Minutos","Operando por Tempo","LTF","Aplicação","43-46","LTF","0","10","","","Livro/Video/Arvore","","","Universal","TF inferior padrão para scalpers"
"LTF - Gráfico 15 Segundos","Operando por Tempo","LTF","Aplicação","43-46","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Ultra-LTF para scalp extremo - avançado"
"Day Trade com Gráfico Diário","Operando por Tempo","Day Trade Diário","Framework","43-46","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Modo BTC/STC no diário | Micro canal | Aposta contra grandes barras"
"BTC/STC no Gráfico Diário","Operando por Tempo","Day Trade Diário","Técnica","43-46","BTC e STC","0","10","","","Livro/Video/Arvore","","","Universal","Compra/venda fechamento no gráfico diário"
"Apostando Contra Grandes Barras de TR Diário","Operando por Tempo","Day Trade Diário","Técnica","43-46","TR e Barras Grandes","0","10","","","Livro/Video/Arvore","","","Universal","Grandes barras de TR no diário = fade"
"Perdendo por Erros Evitáveis","Gestão de Perdas","Erros","Identificação","47-50","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Psicologia / Crenças falsas / Gerenciamento ruim / Stop incorreto"
"Crenças Falsas sobre Trading","Gestão de Perdas","Erros","Psicologia","47-50","Falsas Crenças","0","10","","","Livro/Video/Arvore","","","Universal","Identificar e eliminar crenças que causam perdas"
"Gerenciamento Ruim de Risco","Gestão de Perdas","Erros","Técnico","47-50","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Stop incorreto / Tamanho errado / Sem plano"
"Regras para Evitar Grandes Perdas","Gestão de Perdas","Erros","Prevenção","47-50","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Stop sempre presente / Tamanho correto / Plano pré-trade"
"Stop Incorreto = Perda Maior","Gestão de Perdas","Erros","Consequência","47-50","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Stop arbitrário ou muito largo = catástrofe"
"Fracionamento Cria Grandes Perdas","Gestão de Perdas","Erros","Consequência","47-50","Scale In em Perdedora","0","10","","","Livro/Video/Arvore","","","Universal","Scale in em perdedora amplifica perda"
"Boa Operação que Vai Mal","Gestão de Perdas","Perspectiva","Mentalidade","47-50","Aceitar Incerteza","0","10","","","Livro/Video/Arvore","","","Universal","Mesmo melhor setup pode perder - é probabilidade"
"Precisa de Regras para Boa Operação Mal","Gestão de Perdas","Perspectiva","Regras","47-50","Boa Operação","0","10","","","Livro/Video/Arvore","","","Universal","Stop técnico protege quando setup falha"
"Todas Tendências Desapontam","Gestão de Perdas","Perspectiva","Realidade","47-50","Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Nenhuma tendência é perfeita - aceitar drawdowns"
"Se Premissa Mudar - Mude Estilo","Gestão de Perdas","Perspectiva","Adaptação","47-50","Premissa Mudou","0","10","","","Livro/Video/Arvore","","","Universal","Contexto mudou = estratégia muda"
"Traders Emboscados","Gestão de Perdas","Perspectiva","Psicologia","47-50","Trapped Traders","0","10","","","Livro/Video/Arvore","","","Universal","Emboscados na direção errada - saiam rápido"
"Evitar Operações Ruins","Gestão de Perdas","Prevenção","Seleção","47-50","Checklist Pré-Trade","0","10","","","Livro/Video/Arvore","","","Universal","Pule setups ruins - seja seletivo"
"Identificar Always In Direction","Habilidades Práticas","Leitura Contexto","Habilidade Core","12-18","Conceito Always In","0","10","","","Livro/Video/Arvore","","","Universal","Determinar AIL ou AIS em tempo real - tarefa 1"
"Identificar Fase do Mercado","Habilidades Práticas","Leitura Contexto","Habilidade Core","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Tendência/Canal/TR/BO em tempo real"
"Reconhecer Tendência de Alta","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Série de HLs clara - compradores controlam"
"Reconhecer Tendência de Baixa","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Série de LHs clara - vendedores controlam"
"Identificar Trading Range","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Reconhecer lateralidade vs tendência"
"Identificar Canal","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Traçar linhas paralelas corretamente"
"Avaliar Qualidade da Tendência","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Qualidade Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Forte vs Fraca - impacta estratégia"
"Identificar Tipo de Canal","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Tipos Canal","0","10","","","Livro/Video/Arvore","","","Universal","Estreito/Amplo/Micro - diferentes estratégias"
"Reconhecer Micro Canal","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Micro Canal","0","10","","","Livro/Video/Arvore","","","Universal","Identificar tendência mais forte / clímax"
"Identificar TTR","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","TTR","0","10","","","Livro/Video/Arvore","","","Universal","Tight trading range - compressão"
"Determinar Posição em TR","Habilidades Práticas","Leitura Estrutura","Habilidade","12-18","Posição TR","0","10","","","Livro/Video/Arvore","","","Universal","Topo/Meio/Fundo/Metades - define estratégia"
"Ler Barras de Sinal","Habilidades Práticas","Leitura Barras","Habilidade Core","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Qualidade: forte/fraca/ruim - base da execução"
"Avaliar Qualidade do Sinal","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Qualidade Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Corpo/fechamento/sombra - decisão de entrar"
"Reconhecer Inside Bars (i e ii)","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Inside Bar","0","10","","","Livro/Video/Arvore","","","Universal","Identificar compressão"
"Reconhecer Outside Bars (o e oo)","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Outside Bar","0","10","","","Livro/Video/Arvore","","","Universal","Identificar volatilidade"
"Identificar Dojis","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Doji","0","10","","","Livro/Video/Arvore","","","Universal","Indecisão - ajustar estratégia"
"Reconhecer Barras de Tendência","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Barra Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Alinhadas com direção - força"
"Identificar Barras de Surpresa","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Barra Surpresa","0","10","","","Livro/Video/Arvore","","","Universal","Movimento inesperado forte"
"Identificar Barras de Desistência","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Barra Desistência","0","10","","","Livro/Video/Arvore","","","Universal","Exaustão - reversão minoritária"
"Marcar Swing Highs e Lows","Habilidades Práticas","Leitura Estrutura","Habilidade","19-29","Swing High/Low","0","10","","","Livro/Video/Arvore","","","Universal","Pivots importantes - automático"
"Identificar S/R Relevantes","Habilidades Práticas","Leitura Estrutura","Habilidade","19-29","Tipos S/R","0","10","","","Livro/Video/Arvore","","","Universal","Níveis de decisão - hierarquia HTF"
"Priorizar S/R por Timeframe","Habilidades Práticas","Leitura Estrutura","Habilidade","19-29","S/R HTF","0","10","","","Livro/Video/Arvore","","","Universal","HTF > CTF > LTF sempre"
"Reconhecer Gaps","Habilidades Práticas","Leitura Barras","Habilidade","08-11","Tipos Gap","0","10","","","Livro/Video/Arvore","","","Universal","MAG/EG/MG/Corpo/Micro - diferentes significados"
"Diferenciar EG vs MG","Habilidades Práticas","Leitura Barras","Habilidade","08-11","EG e MG","0","10","","","Livro/Video/Arvore","","","Universal","Exaustão vs Projeção - impacta alvo"
"Reconhecer MTR em Formação","Habilidades Práticas","Identificação Padrões","Habilidade Avançada","19-29","MTR","0","10","","","Livro/Video/Arvore","","","Universal","LH em topo / HL em fundo - mais difícil"
"Identificar Cunhas","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","3 pushes com linhas convergentes"
"Distinguir Cunha Boa de Ruim","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Qualidade Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Contexto da tendência - crucial"
"Reconhecer Double Tops/Bottoms","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Duplos","0","10","","","Livro/Video/Arvore","","","Universal","2 topos/fundos similares"
"Identificar Head and Shoulders","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","OHO - maioria são minoritários"
"Reconhecer Bull/Bear Flags","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Bandeiras","0","10","","","Livro/Video/Arvore","","","Universal","Correção que prepara nova perna"
"Identificar Bandeiras Finais","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Bandeiras Finais","0","10","","","Livro/Video/Arvore","","","Universal","Última antes TR - operação rentável"
"Reconhecer Clímax","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Buying/Selling climax"
"Identificar Clímax Consecutivos","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Clímax Consecutivo","0","10","","","Livro/Video/Arvore","","","Universal","2+ seguidos - segundo falha"
"Reconhecer Armadilhas","Habilidades Práticas","Identificação Padrões","Habilidade","19-29","Armadilhas","0","10","","","Livro/Video/Arvore","","","Universal","Bull/Bear traps - fade"
"Identificar BO Forte vs Fraco","Habilidades Práticas","Identificação Padrões","Habilidade","12-18","Qualidade BO","0","10","","","Livro/Video/Arvore","","","Universal","Gap/grande barra/follow-through"
"Contar Legs H1-H4 L1-L4","Habilidades Práticas","Leitura Estrutura","Habilidade","08-11","Contagem Legs","0","10","","","Livro/Video/Arvore","","","Universal","Numerar pernas - timing"
"Reconhecer H2/L2 como Entrada","Habilidades Práticas","Leitura Estrutura","Habilidade","08-11","H2/L2","0","10","","","Livro/Video/Arvore","","","Universal","Segunda perna - contra desistem"
"Identificar H4/L4 (exaustão)","Habilidades Práticas","Leitura Estrutura","Habilidade","08-11","H4/L4","0","10","","","Livro/Video/Arvore","","","Universal","Quarta perna - alerta"
"Determinar Major vs Minor Swings","Habilidades Práticas","Leitura Estrutura","Habilidade","08-11","Major e Minor","0","10","","","Livro/Video/Arvore","","","Universal","Tamanho relativo - importância do stop"
"Ler Pressão de Mercado","Habilidades Práticas","Leitura Pressão","Habilidade","08-11","Tipos Pressão","0","10","","","Livro/Video/Arvore","","","Universal","Compra/Venda/Equilíbrio"
"Identificar Trapped Traders","Habilidades Práticas","Leitura Pressão","Habilidade","08-11","Trapped Traders","0","10","","","Livro/Video/Arvore","","","Universal","Posições presas - força o mercado"
"Calcular Movimento Projetado","Habilidades Práticas","Análise","Cálculo","19-29","MM","0","10","","","Livro/Video/Arvore","","","Universal","Leg1=Leg2 / altura TR-BO"
"Calcular Probabilidade do Setup","Habilidades Práticas","Análise","Cálculo","08-11","Probabilidade","0","10","","","Livro/Video/Arvore","","","Universal","Alta/Média/Baixa - contexto"
"Calcular Risk:Reward","Habilidades Práticas","Análise","Cálculo","08-11","Risco","0","10","","","Livro/Video/Arvore","","","Universal","Alvo/Stop ratio - mínimo 1:1.5"
"Aplicar Regra 80%","Habilidades Práticas","Análise","Regras","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","","","Universal","Reversões/BOs falham"
"Aplicar Regra 70%","Habilidades Práticas","Análise","Regras","12-18","Regra 70%","0","10","","","Livro/Video/Arvore","","","Universal","Teste linha canal"
"Determinar Tipo de Ordem Correto","Habilidades Práticas","Execução Entrada","Habilidade","30-36","Stop/Limit/Market","0","10","","","Livro/Video/Arvore","","","Universal","Stop vs Limit vs Market - contexto"
"Posicionar Stop Loss Correto","Habilidades Práticas","Execução Stop","Habilidade Core","30-36","Stop Técnico","0","10","","","Livro/Video/Arvore","","","Universal","Abaixo HL/acima LH - técnico não arbitrário"
"Calcular Tamanho de Posição","Habilidades Práticas","Execução Entrada","Habilidade","30-36","Tamanho Posição","0","10","","","Livro/Video/Arvore","","","Universal","Risco fixo / distância stop = contratos"
"Scale In em Ganhadora","Habilidades Práticas","Gestão Posição","Habilidade","30-36","Scale In OK","0","10","","","Livro/Video/Arvore","","","Universal","Adicionar em lucro - confirmação"
"Evitar Scale In em Perdedora","Habilidades Práticas","Gestão Posição","Habilidade","30-36","Scale In Perigo","0","10","","","Livro/Video/Arvore","","","Universal","NUNCA adicionar em perda"
"Mover Stop para Breakeven","Habilidades Práticas","Gestão Stop","Habilidade","30-36","Breakeven","0","10","","","Livro/Video/Arvore","","","Universal","Após trade confirmar - protege entrada"
"Aplicar Trailing Stop","Habilidades Práticas","Gestão Stop","Habilidade","30-36","Trailing Stop","0","10","","","Livro/Video/Arvore","","","Universal","Seguir abaixo cada novo HL"
"Sair por Premissa Mudada","Habilidades Práticas","Realização","Habilidade","30-36","Premissa Mudou","0","10","","","Livro/Video/Arvore","","","Universal","Razão técnica não emocional"
"Comprar Pullback em Alta","Habilidades Práticas","Operação Tendência","Habilidade","37-42","Compra Correção","0","10","","","Livro/Video/Arvore","","","Universal","Com tendência"
"Vender Rally em Baixa","Habilidades Práticas","Operação Tendência","Habilidade","37-42","Venda Rally","0","10","","","Livro/Video/Arvore","","","Universal","Com tendência"
"Operar Canal Estreito Alta","Habilidades Práticas","Operação Canal","Habilidade","37-42","Canal Estreito Alta","0","10","","","Livro/Video/Arvore","","","Universal","Compra pullback raso"
"Operar Canal Estreito Baixa","Habilidades Práticas","Operação Canal","Habilidade","37-42","Canal Estreito Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Venda rally raso"
"Operar Canal Amplo Alta","Habilidades Práticas","Operação Canal","Habilidade","37-42","Canal Amplo Alta","0","10","","","Livro/Video/Arvore","","","Universal","Compra zona inferior"
"Operar Canal Amplo Baixa","Habilidades Práticas","Operação Canal","Habilidade","37-42","Canal Amplo Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Venda zona superior"
"Comprar Metade Inferior TR","Habilidades Práticas","Operação TR","Habilidade","37-42","BLSHS","0","10","","","Livro/Video/Arvore","","","Universal","Buy low - zona suporte"
"Vender Metade Superior TR","Habilidades Práticas","Operação TR","Habilidade","37-42","BLSHS","0","10","","","Livro/Video/Arvore","","","Universal","Sell high - zona resistência"
"Apostar CONTRA BO em TR","Habilidades Práticas","Operação TR","Habilidade","37-42","Aposte Contra BO","0","10","","","Livro/Video/Arvore","","","Universal","Fade breakout"
"Entrar em BO Forte","Habilidades Práticas","Operação BO","Habilidade","37-42","BO Forte","0","10","","","Livro/Video/Arvore","","","Universal","Com gap/grande barra"
"Aguardar Teste em BO Fraco","Habilidades Práticas","Operação BO","Habilidade","37-42","BO Fraco","0","10","","","Livro/Video/Arvore","","","Universal","Pullback primeiro"
"Operar MTR em Topos","Habilidades Práticas","Operação Reversão","Habilidade Avançada","37-42","MTR Topos","0","10","","","Livro/Video/Arvore","","","Universal","LH setup - R:R 1:2"
"Operar MTR em Fundos","Habilidades Práticas","Operação Reversão","Habilidade Avançada","37-42","MTR Fundos","0","10","","","Livro/Video/Arvore","","","Universal","HL setup - R:R 1:2"
"Operar na Abertura","Habilidades Práticas","Timing","Habilidade","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Primeira hora - máxima volatilidade"
"Identificar Reversão vs Tendência Abertura","Habilidades Práticas","Timing","Habilidade","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","80% reversão / 20% tendência"
"Procurar Mudança Fase Meio Dia","Habilidades Práticas","Timing","Habilidade","43-46","Meio Dia","0","10","","","Livro/Video/Arvore","","","Universal","Transições após almoço"
"Identificar Armadilhas Final Dia","Habilidades Práticas","Timing","Habilidade","43-46","Final Dia","0","10","","","Livro/Video/Arvore","","","Universal","Bull/Bear traps últimos 60min"
"Usar Magneto Final Dia como Alvo","Habilidades Práticas","Timing","Habilidade","43-46","Magneto","0","10","","","Livro/Video/Arvore","","","Universal","O/H/L atrai preço"
"Análise HTF para Contexto","Habilidades Práticas","Multi-TF","Habilidade","43-46","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Timeframe maior = viés"
"Identificar S/R de HTF","Habilidades Práticas","Multi-TF","Habilidade","43-46","S/R HTF","0","10","","","Livro/Video/Arvore","","","Universal","Níveis mais importantes"
"Usar LTF para Entrada Melhor","Habilidades Práticas","Multi-TF","Habilidade","43-46","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Entrada prematura ou confirmação"
"Manter Disciplina no Trade","Habilidades Práticas","Mental","Habilidade","01-07","Disciplina","0","10","","","Livro/Video/Arvore","","","Universal","Seguir plano sem desviar"
"Controlar FOMO","Habilidades Práticas","Mental","Habilidade","01-07","FOMO","0","10","","","Livro/Video/Arvore","","","Universal","Não entrar tarde fora do plano"
"Aceitar Perdas com Disciplina","Habilidades Práticas","Mental","Habilidade","01-07","Aceitar Incerteza","0","10","","","Livro/Video/Arvore","","","Universal","Não revenge trade"
"Aprender com Cada Trade","Habilidades Práticas","Mental","Habilidade","01-07","Aprender com Perdas","0","10","","","Livro/Video/Arvore","","","Universal","Análise pós-trade"
"Registrar Todos os Trades","Habilidades Práticas","Registro","Habilidade","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Trading journal completo"
"Revisar Trades Semanalmente","Habilidades Práticas","Registro","Habilidade","01-07","Journaling","0","10","","","Livro/Video/Arvore","","","Universal","Análise semanal de padrões"
